graph,nodes,max_degree,steps,perturbation,eta,delta,beta,beta_multiplier,certified,max_state_error,max_ic_error,ic_bound,max_local_state_jacobian_norm,conditional_jacobian_bound
random_0.1_0,32,8,64,equivariant_residual,0.3,0.001,18.08050989175014,0.5,False,0.00012098071658987196,0.0001834229402692955,0.21209610604805304,0.020668363448102228,0.17068995765856176
random_0.1_0,32,8,64,equivariant_residual,0.3,0.001,36.16101978350028,1.0,True,1.4051943772220793e-08,2.157075185138524e-08,0.21209610604805304,4.801853160754575e-06,0.34137991531712353
random_0.1_0,32,8,64,equivariant_residual,0.3,0.001,54.24152967525042,1.5,True,1.6657180290589773e-12,2.6143531783873186e-12,0.21209610604805304,8.538178373895081e-10,0.5120698729756853
random_0.1_1,32,6,64,adversarial,0.0,0.001,7.0048222907186135,0.5,False,1.0,0.3660937016754877,0.205018686599039,11.616254437910202,0.048984722278995266
random_0.1_1,32,6,64,adversarial,0.0,0.001,14.009644581437227,1.0,True,0.0009977067884161751,0.0022766952610178137,0.205018686599039,0.0977450042667046,0.09796944455799053
random_0.1_1,32,6,64,adversarial,0.0,0.001,21.01446687215584,1.5,True,2.744773404628312e-05,6.693267255464264e-05,0.205018686599039,0.004037485661945023,0.14695416683698578
random_0.1_1,32,6,64,equivariant_residual,0.0,0.001,7.0048222907186135,0.5,False,1.0,0.3660937016754877,0.205018686599039,11.616254437910202,0.048984722278995266
random_0.1_1,32,6,64,equivariant_residual,0.0,0.001,14.009644581437227,1.0,True,0.0009977067884161751,0.0022766952610178137,0.205018686599039,0.0977450042667046,0.09796944455799053
random_0.1_1,32,6,64,equivariant_residual,0.0,0.001,21.01446687215584,1.5,True,2.744773404628312e-05,6.693267255464264e-05,0.205018686599039,0.004037485661945023,0.14695416683698578
random_0.1_1,32,6,64,adversarial,0.1,0.001,8.787219820163553,0.5,False,1.0,0.5053655322810426,0.205018686599039,10.973583390567773,0.061449028202403735
random_0.1_1,32,6,64,adversarial,0.1,0.001,17.574439640327107,1.0,True,0.0009963331024540492,0.0022342760024764985,0.205018686599039,0.12244785127490333,0.12289805640480747
random_0.1_1,32,6,64,adversarial,0.1,0.001,26.36165946049066,1.5,True,2.6461688952224873e-05,6.448942457826234e-05,0.205018686599039,0.0048828890174463,0.1843470846072112
random_0.1_1,32,6,64,equivariant_residual,0.1,0.001,8.787219820163553,0.5,False,1.0,0.10293706011879022,0.205018686599039,15.681897356183073,0.06276579309245525
random_0.1_1,32,6,64,equivariant_residual,0.1,0.001,17.574439640327107,1.0,True,0.00015565031346743798,0.0003796214124403008,0.205018686599039,0.019555545006151656,0.1255315861849105
random_0.1_1,32,6,64,equivariant_residual,0.1,0.001,26.36165946049066,1.5,True,1.8870874386861704e-06,4.670945787488279e-06,0.205018686599039,0.0003556886372634369,0.18829737927736573
random_0.1_1,32,6,64,adversarial,0.3,0.001,17.89314709494444,0.5,False,1.0,1.2356016061894772,0.205018686599039,31.068214404989494,0.12512677763494645
random_0.1_1,32,6,64,adversarial,0.3,0.001,35.78629418988888,1.0,True,0.0009835015517623829,0.0020219409597519444,0.205018686599039,0.24612882468334618,0.2502535552698929
random_0.1_1,32,6,64,adversarial,0.3,0.001,53.67944128483332,1.5,True,2.1929335405836883e-05,5.3316452202523124e-05,0.205018686599039,0.008239900606824524,0.37538033290483935
random_0.1_1,32,6,64,equivariant_residual,0.3,0.001,17.89314709494444,0.5,False,0.00013247615021175446,0.0003246199992572585,0.205018686599039,0.017657254038132487,0.13317064191147873
