family,size_parameter,offset,beta,mae,limit_mae
barbell,100000000,0.3500000000000001,37.191361487904736,0.4999983479092547,0.5
barbell,100000000,0.40000000000000036,37.24136148790473,0.49999649380716876,0.5
barbell,100000000,0.4500000000000002,37.29136148790474,0.49999267497071764,0.5
barbell,100000000,0.5,37.341361487904734,0.4999849401720544,0.5
barbell,100000000,0.5500000000000003,37.39136148790473,0.49996952844218345,0.5
barbell,100000000,0.6000000000000001,37.441361487904736,0.49993930849592155,0.5
barbell,100000000,0.6500000000000004,37.49136148790473,0.4998809748218347,0.5
barbell,100000000,0.7000000000000002,37.54136148790474,0.4997700948799869,0.5
barbell,100000000,0.75,37.591361487904734,0.49956251327599893,0.5
barbell,100000000,0.8000000000000003,37.64136148790473,0.4991797145821628,0.5
barbell,100000000,0.8500000000000001,37.691361487904736,0.4984844401206082,0.5
barbell,100000000,0.9000000000000004,37.74136148790473,0.4972411767661953,0.5
barbell,100000000,0.9500000000000002,37.79136148790474,0.49505455278891536,0.5
barbell,100000000,1.0,37.841361487904734,0.4912788793514899,0.5
barbell,100000000,1.0500000000000003,37.89136148790473,0.4848986649660976,0.5
barbell,100000000,1.1,37.941361487904736,0.4744029547892881,0.5
barbell,100000000,1.1500000000000004,37.99136148790473,0.4577315928796869,0.5
barbell,100000000,1.2000000000000002,38.04136148790474,0.43246531844436437,0.5
barbell,100000000,1.25,38.091361487904734,0.3965042030501245,0.5
barbell,100000000,1.3000000000000003,38.14136148790473,0.34932271200896203,0.5
barbell,100000000,1.35,38.191361487904736,0.29327193301561155,0.5
barbell,100000000,1.4000000000000004,38.24136148790473,0.23370031076396536,0.0
barbell,100000000,1.4500000000000002,38.29136148790474,0.1771451132538176,0.0
barbell,100000000,1.5,38.341361487904734,0.1287021169751705,0.0
barbell,100000000,1.5500000000000003,38.39136148790473,0.09057055382535424,0.0
barbell,100000000,1.6,38.441361487904736,0.06239324331060272,0.0
barbell,100000000,1.6500000000000004,38.49136148790473,0.04245543615061644,0.0
barbell,100000000,1.7000000000000002,38.54136148790474,0.028728967555591355,0.0
barbell,100000000,1.75,38.591361487904734,0.019425270213063638,0.0
barbell,100000000,1.8000000000000003,38.64136148790473,0.013166125916059234,0.0
barbell,100000000,1.85,38.691361487904736,0.00896365267796994,0.0
