family,size_parameter,represented_nodes,schedule,beta,mae,max_state_error_all_steps,max_state_error_final
path_copies,10,30,coefficient_2.1,7.142514501490527,0.10558050280805993,0.04809966462973177,0.04809966462973177
path_copies,10,30,coefficient_2.5,8.502993454155389,0.06232420486563339,0.019971469503458465,0.019971469503458465
path_copies,10,30,coefficient_3.0,10.203592144986466,0.028562553529639878,0.007270510544610465,0.007270510544610465
path_copies,100,300,fixed_4,4.0,0.24775336871018774,0.3613372197192428,0.3613372197192428
path_copies,100,300,fixed_8,8.0,0.22577013267181298,0.027429300694919154,0.027429300694919154
path_copies,100,300,fixed_12,12.0,0.09147838657850478,0.0027021935296771067,0.0027021935296771067
path_copies,100,300,fixed_20,20.0,0.002249231313583492,4.552168962189536e-05,4.552168962189536e-05
path_copies,100,300,fixed_100,100.0,0.0,1.9287498479639178e-22,1.9287498479639178e-22
path_copies,100,300,coefficient_1.5,8.555673711984301,0.21458589354948318,0.019328827144923108,0.019328827144923108
path_copies,100,300,coefficient_1.9,10.83718670184678,0.134348795251231,0.00509142300903093,0.00509142300903093
path_copies,100,300,coefficient_2.0,11.407564949312402,0.1124404586454845,0.0037208112195907324,0.0037208112195907324
path_copies,100,300,coefficient_2.1,11.977943196778023,0.0922166004089479,0.002734310458934141,0.002734310458934141
path_copies,100,300,coefficient_2.5,14.259456186640502,0.035982768875373404,0.0008281458940093405,0.0008281458940093405
path_copies,100,300,coefficient_3.0,17.111347423968603,0.009352075112317726,0.00019432263498043396,0.00019432263498043396
path_copies,1000,3000,fixed_4,4.0,0.2506379175299415,0.3613372197192428,0.3613372197192428
path_copies,1000,3000,fixed_8,8.0,0.27720166938826735,0.027429300694919154,0.027429300694919154
path_copies,1000,3000,fixed_12,12.0,0.2581209070423025,0.0027021935296771067,0.0027021935296771067
path_copies,1000,3000,fixed_20,20.0,0.02126333285799979,4.552168962189536e-05,4.552168962189536e-05
path_copies,1000,3000,fixed_100,100.0,0.0,1.9287498479639178e-22,1.9287498479639178e-22
path_copies,1000,3000,coefficient_1.5,12.00955135147537,0.2578902778825111,0.002688408747381514,0.002688408747381514
path_copies,1000,3000,coefficient_1.9,15.212098378535467,0.14258765501738888,0.0005085900925897427,0.0005085900925897427
path_copies,1000,3000,coefficient_2.0,16.012735135300492,0.11129771795229464,0.00033859738101783994,0.00033859738101783994
path_copies,1000,3000,coefficient_2.1,16.81337189206552,0.0837988392196199,0.00022584817347466162,0.00022584817347466162
path_copies,1000,3000,coefficient_2.5,20.015918919125614,0.02110531977821717,4.5159938023765276e-05,4.5159938023765276e-05
path_copies,1000,3000,coefficient_3.0,24.01910270295074,0.003014822161231242,6.088438483386798e-06,6.088438483386798e-06
path_copies,10000,30000,fixed_4,4.0,0.25092886473294645,0.3613372197192428,0.3613372197192428
path_copies,10000,30000,fixed_8,8.0,0.2836397391226508,0.027429300694919154,0.027429300694919154
path_copies,10000,30000,fixed_12,12.0,0.3153708074612788,0.0027021935296771067,0.0027021935296771067
path_copies,10000,30000,fixed_20,20.0,0.13506097969090827,4.552168962189536e-05,4.552168962189536e-05
path_copies,10000,30000,fixed_100,100.0,0.0,1.9287498479639178e-22,1.9287498479639178e-22
path_copies,10000,30000,coefficient_1.5,15.463428990966438,0.2879156687218227,0.0004475062701817839,0.0004475062701817839
path_copies,10000,30000,coefficient_1.9,19.587010055224155,0.15191148964320855,5.59931284959711e-05,5.59931284959711e-05
path_copies,10000,30000,coefficient_2.0,20.617905321288585,0.11113535442910287,3.3401012622353284e-05,3.3401012622353284e-05
path_copies,10000,30000,coefficient_2.1,21.648800587353016,0.07666639979446084,1.993313143283447e-05,1.993313143283447e-05
path_copies,10000,30000,coefficient_2.5,25.772381651610733,0.012200773868194625,2.533275238366055e-06,2.533275238366055e-06
path_copies,10000,30000,coefficient_3.0,30.926857981932876,0.0009594545453080657,1.92453489039094e-07,1.92453489039094e-07
path_copies,1000000,3000000,fixed_4,4.0,0.25096089683733763,0.3613372197192428,0.3613372197192428
path_copies,1000000,3000000,fixed_8,8.0,0.28436597968529104,0.027429300694919154,0.027429300694919154
path_copies,1000000,3000000,fixed_12,12.0,0.32325469180559424,0.0027021935296771067,0.0027021935296771067
path_copies,1000000,3000000,fixed_20,20.0,0.32821973997911336,4.552168962189536e-05,4.552168962189536e-05
path_copies,1000000,3000000,fixed_100,100.0,7.401486830834377e-17,1.9287498479639178e-22,1.9287498479639178e-22
path_copies,1000000,3000000,coefficient_1.5,22.37118426994858,0.3179595217678912,1.3885367205983423e-05,1.3885367205983423e-05
path_copies,1000000,3000000,coefficient_1.9,28.336833408601528,0.17104548416807272,7.02684613684206e-07,7.02684613684206e-07
path_copies,1000000,3000000,coefficient_2.0,29.82824569326477,0.11111146702088992,3.3334316510916935e-07,3.3334316510916935e-07
path_copies,1000000,3000000,coefficient_2.1,31.31965797792801,0.06390784231157946,1.5813538731675197e-07,1.5813538731675197e-07
path_copies,1000000,3000000,coefficient_2.5,37.28530711658096,0.003957144198319644,8.009378491862871e-09,8.009378491862871e-09
path_copies,1000000,3000000,coefficient_3.0,44.74236853989716,9.619724388421069e-05,1.9245009466421205e-10,1.9245009466421205e-10
path_copies,100000000,300000000,fixed_4,4.0,0.2509612171863438,0.3613372197192428,0.3613372197192428
path_copies,100000000,300000000,fixed_8,8.0,0.2843732606230247,0.027429300694919154,0.027429300694919154
path_copies,100000000,300000000,fixed_12,12.0,0.3233355189813829,0.0027021935296771067,0.0027021935296771067
path_copies,100000000,300000000,fixed_20,20.0,0.33298175153694126,4.552168962189536e-05,4.552168962189536e-05
path_copies,100000000,300000000,fixed_100,100.0,9.62193288008469e-15,1.9287498479639178e-22,1.9287498479639178e-22
