family,n,m,gap,tau,normalized,prediction,absolute_error,represented_only,weight_scale,scale,schedule,distance_max,distance_mae,mean_max,mean_mae,closeness_mae,invalid_closeness_nodes
triangle_copies,90,,,1.3717421124828533e-06,False,,,True,0.011111111111111112,shrinking,n^-3,9.508191777217456e-07,3.1693972590724856e-07,4.754095888591381e-07,3.1693972590609204e-07,0.0011410155602457432,0
triangle_copies,90,,,1.3717421124828533e-06,True,,,True,0.011111111111111112,shrinking,n^-3,9.508191777234803e-07,6.338794518156535e-07,9.508191777234803e-07,6.338794518162318e-07,0.0037079425809167788,0
triangle_copies,300,,,1.1111111111111112e-05,False,,,True,1.0,fixed,n^-2,7.701635339696367e-06,2.567211779898789e-06,3.850817669848183e-06,2.567211779898789e-06,1.1409859424678832e-06,0
triangle_copies,300,,,1.1111111111111112e-05,True,,,True,1.0,fixed,n^-2,7.701635339474322e-06,5.134423559723563e-06,7.701635339474322e-06,5.134423559575533e-06,3.7081720922760297e-06,0
triangle_copies,300,,,3.7037037037037036e-08,False,,,True,1.0,fixed,n^-3,2.5672117986985654e-08,8.557372662328552e-09,1.2836058882470525e-08,8.557372588313683e-09,3.8032767305888155e-09,0
triangle_copies,300,,,3.7037037037037036e-08,True,,,True,1.0,fixed,n^-3,2.567211776494105e-08,1.7114745250642233e-08,2.567211776494105e-08,1.7114745176627366e-08,1.2360649022843026e-08,0
triangle_copies,300,,,1.1111111111111112e-05,False,,,True,0.0033333333333333335,shrinking,n^-2,7.70163533955412e-06,2.567211779851373e-06,3.85081766977706e-06,2.567211779851373e-06,0.10276761906673453,0
triangle_copies,300,,,1.1111111111111112e-05,True,,,True,0.0033333333333333335,shrinking,n^-2,7.701635339554987e-06,5.134423559703613e-06,7.701635339554987e-06,5.134423559703613e-06,0.3331258992271084,0
triangle_copies,300,,,3.7037037037037036e-08,False,,,True,0.0033333333333333335,shrinking,n^-3,2.5672117798768157e-08,8.557372599878507e-09,1.2836058898950398e-08,8.557372599444826e-09,0.00034229578272970684,0
triangle_copies,300,,,3.7037037037037036e-08,True,,,True,0.0033333333333333335,shrinking,n^-3,2.5672117798768157e-08,1.711474519917877e-08,2.5672117798768157e-08,1.711474519946789e-08,0.0011124516277618568,0
